Open,High,,,,,
422.59,441.79,,,,,
436.21,458.8,,,,,
455.24,457.14,,,,,
453.82,479.13,,,,,
475.39,483.85,,,,,
464.15,481.44,,,,,
467.29,483.23,,,,,
474.36,479.65,,,,,
474.06,491.66,,,,,
492.07,503.2,,,,,
488.88,490.85,,,,,
476.16,478.32,,,,,
434.52,447.32,,,,,
446.5,446.5,,,,,
430.74,442.36,,,,,
434.51,439.43,,,,,
435.88,454,,,,,
450.42,480.66,,,,,
480.08,508.78,,,,,
500.84,513.43,,,,,
480.63,483.24,,,,,
469.31,469.31,,,,,
450.68,468.08,,,,,
462.44,470.9,,,,,
459.44,469.77,,,,,
451.14,481.14,,,,,
479.91,482.87,,,,,
472.33,483.7,,,,,
464.01,473.22,,,,,
469.68,471.59,,,,,
466.92,470.36,,,,,
466.83,467.95,,,,,
457.25,457.25,,,,,
433.87,435.46,,,,,
420.81,425.03,,,,,
412.57,420.55,,,,,
418.24,420.19,,,,,
407.35,413.72,,,,,
410.57,414.54,,,,,
406.8,411.41,,,,,
379.89,380.67,,,,,
356.97,370.95,,,,,
365.78,367.05,,,,,
334.26,334.26,,,,,
320.82,328.59,,,,,
320.21,323.55,,,,,
286.37,286.37,,,,,
280.39,303.59,,,,,
282.74,298.48,,,,,
287.68,316.17,,,,,
316.79,320.45,,,,,
295.67,307.1,,,,,
301.38,304.37,,,,,
273.33,285.97,,,,,
281.97,297.49,,,,,
271.75,279.55,,,,,
278.11,283.3,,,,,
283.28,283.52,,,,,
279.53,279.53,,,,,
275.35,285.6,,,,,
286.65,297.4,,,,,
296.16,297.07,,,,,
289.75,291.24,,,,,
284.12,284.55,,,,,
283.5,301.14,,,,,
295.45,298.69,,,,,
295.18,295.59,,,,,
289.3,291.58,,,,,
286.05,288.16,,,,,
231.65,231.76,,,,,
229.54,233.9,,,,,
217.91,220.37,,,,,
198.39,207.67,,,,,
197.85,201.88,,,,,
198.18,198.51,,,,,
185.42,185.59,,,,,
183.68,214,,,,,
212.67,222.79,,,,,
209.81,226.6,,,,,
222.8,222.8,,,,,
221.58,224.26,,,,,
197.1,213.36,,,,,
209.47,213.87,,,,,
210.29,224.82,,,,,
225.25,248.39,,,,,
247.34,251.2,,,,,
240.99,247.46,,,,,
244.84,245.11,,,,,
228.33,228.33,,,,,
218.65,221.44,,,,,
215.44,230.61,,,,,
229.04,231.75,,,,,
221.71,234.01,,,,,
231.33,236.99,,,,,
233.22,234.15,,,,,
231.1,231.17,,,,,
226.41,226.46,,,,,
220.45,226.15,,,,,
222.27,228.32,,,,,
227.55,227.93,,,,,
225.44,226.37,,,,,
226.51,230.77,,,,,
229.71,230.16,,,,,
227.62,227.71,,,,,
225.61,225.61,,,,,
188.71,199.4,,,,,
196.36,201.28,,,,,
199.69,201.83,,,,,
195.27,222.12,,,,,
209.63,212.17,,,,,
210.22,211.13,,,,,
207.4,208.47,,,,,
203.26,204.66,,,,,
203.52,206.22,,,,,
205.39,208.16,,,,,
205.17,206.93,,,,,
204.02,205.15,,,,,
204.13,205.58,,,,,
203.87,204.13,,,,,
202.34,204.78,,,,,
203.36,206.08,,,,,
204.51,205.92,,,,,
205.17,205.6,,,,,
197.2,198.12,,,,,
